group,Date,KWH,Next_15_Days_Energy_Total,sunshine,global_radiation,max_temp,mean_temp,min_temp,pressure,cloud_cover_0.0,cloud_cover_1.0,cloud_cover_2.0,cloud_cover_3.0,cloud_cover_4.0,cloud_cover_5.0,cloud_cover_6.0,cloud_cover_7.0,cloud_cover_8.0,precipitation_0,precipitation_1,precipitation_2,precipitation_3,precipitation_4,snow_depth_0.0,snow_depth_1.0,Predictions
8,2013-03-02,921.31,924.849,72.0,60.0,8.8,4.2,2.6,102790.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,[909.6795]
2,2013-11-21,1002.376,988.4403333333332,126.0,37.0,8.2,5.8,3.3,100450.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,[1037.2327]
20,2013-05-23,810.965,680.66,354.0,211.0,9.9,8.7,5.7,101370.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,[755.25775]
45,2013-05-20,1043.426,889.8043333333334,0.0,79.0,15.3,14.1,10.9,101170.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,[913.2943]
33,2013-07-16,1019.02,975.3233333333334,552.0,261.0,31.9,24.1,17.2,102280.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,[1020.6047]
13,2013-07-09,681.932,641.1993333333334,870.0,333.0,24.6,19.9,12.5,102820.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,[716.1736]
39,2013-07-23,939.888,889.717,294.0,193.0,27.7,25.2,20.7,101330.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,[893.633]
53,2013-12-09,1051.123,1167.6736666666673,318.0,45.0,9.6,8.1,4.8,102890.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,[1155.4327]
50,2013-09-12,810.468,737.3103333333333,48.0,74.0,19.6,16.5,12.5,101930.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,[813.79315]
5,2013-01-01,1124.127,1167.607,336.0,46.0,11.0,5.7,3.3,100790.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,[1273.0312]
26,2012-11-12,962.081,1015.213,0.0,19.0,15.5,8.0,3.2,102090.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,[1010.8985]
16,2013-03-27,1354.99,1047.445,198.0,116.0,5.2,2.1,-0.7,101180.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,[1129.0159]
7,2013-11-10,1052.818,1090.3260000000002,474.0,79.0,13.1,7.3,4.4,101590.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,[1104.1155]
13,2013-03-22,824.836,821.1786666666667,6.0,53.0,1.8,4.0,2.4,100960.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,[852.6995]
29,2013-05-28,887.139,843.4966666666666,0.0,81.0,13.2,10.8,9.6,100050.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,[848.26715]
13,2013-09-03,595.295,693.8526666666667,252.0,137.0,28.5,20.1,14.2,102700.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,[706.4002]
28,2013-04-28,905.578,825.5969999999998,294.0,175.0,14.8,6.3,0.5,101680.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,[840.25604]
46,2012-12-21,1119.851,1121.390666666667,204.0,35.0,13.8,8.1,6.2,100960.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,[1126.1111]
43,2012-11-27,1190.046,1201.9520000000002,0.0,15.0,7.2,7.7,6.8,100410.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,[1253.6853]
50,2013-03-21,1302.721,1248.3003333333334,78.0,78.0,5.6,3.6,0.0,101580.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,[1393.0078]
42,2013-03-19,1127.428,1219.845,90.0,80.0,7.0,5.7,2.8,99760.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,[1139.3572]
15,2013-11-29,816.067,923.85,0.0,15.0,9.0,8.9,7.4,102690.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,[867.47003]
22,2013-05-16,772.408,743.4459999999999,516.0,246.0,12.6,10.2,3.4,99980.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,[830.7699]
18,2013-01-22,1532.364,1308.955,0.0,16.0,2.5,-0.8,-4.7,100150.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,[1265.452]
15,2013-11-16,884.667,866.9603333333333,324.0,60.0,9.7,5.2,0.3,103200.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,[927.84155]
15,2013-12-11,982.445,1024.025,144.0,30.0,11.2,3.1,0.7,102950.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,[979.6895]
40,2013-02-25,1298.665,1267.9893333333332,0.0,30.0,5.0,2.6,0.9,102740.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,[1272.4797]
41,2013-01-09,1032.736,1228.8773333333336,198.0,38.0,3.5,8.6,8.0,102130.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,[1235.0137]
6,2013-06-17,820.376,845.8043333333334,12.0,95.0,21.0,17.0,12.7,101400.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,[813.1743]
52,2013-12-12,1058.336,1047.7599999999995,48.0,21.0,12.6,4.9,-1.5,102480.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,[1071.5997]
21,2013-10-30,804.866,903.6130000000002,372.0,82.0,13.3,9.0,3.5,102010.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,[874.6888]
38,2013-12-31,1450.383,1253.616,0.0,13.0,11.4,8.0,5.1,100410.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,[1308.1243]
19,2012-11-05,1260.122,1296.0036666666667,402.0,77.0,10.1,5.3,0.3,100640.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,[1238.3246]
12,2013-06-07,696.434,696.0156666666668,276.0,196.0,18.6,15.1,9.6,102310.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,[732.6893]
32,2013-05-09,916.012,967.8126666666668,414.0,216.0,18.3,10.9,6.9,100830.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,[933.4505]
17,2013-07-06,867.025,770.3330000000002,816.0,323.0,29.5,21.1,14.0,102940.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,[821.0544]
50,2013-08-07,706.471,738.6516666666666,438.0,217.0,25.5,18.9,14.7,101450.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,[755.947]
11,2012-10-19,968.294,1021.4626666666668,0.0,28.0,14.1,12.4,11.2,100780.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,[1050.1672]
41,2012-10-06,859.075,988.316,474.0,128.0,13.8,11.4,7.5,101300.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,[973.86694]
24,2013-04-08,982.465,829.3016666666664,252.0,143.0,9.7,7.7,4.1,100530.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,[904.4898]
23,2012-12-08,1086.375,1074.717666666667,384.0,49.0,9.2,4.9,2.5,102350.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,[1052.0911]
3,2013-01-16,1315.395,1157.9913333333334,78.0,28.0,2.6,-1.2,-2.6,101340.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,[1145.0872]
2,2013-09-29,862.694,898.1336666666666,270.0,108.0,19.1,16.5,13.8,100690.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,[906.6178]
