group,Date,KWH,Next_15_Days_Energy_Total,sunshine,global_radiation,max_temp,mean_temp,min_temp,pressure,cloud_cover_0.0,cloud_cover_1.0,cloud_cover_2.0,cloud_cover_3.0,cloud_cover_4.0,cloud_cover_5.0,cloud_cover_6.0,cloud_cover_7.0,cloud_cover_8.0,precipitation_0,precipitation_1,precipitation_2,precipitation_3,precipitation_4,snow_depth_0.0,snow_depth_1.0,Predictions
3,2014-01-15,1142.464,1114.878333333333,0.0,15.0,10.6,6.3,1.3,99840.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,[1209.6292]
51,2012-11-11,1119.284,1210.7216666666666,480.0,77.0,12.7,6.0,1.3,101170.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,[1190.1566]
51,2014-01-02,1072.898,959.829666666667,312.0,45.0,10.7,8.6,6.1,99330.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,[1010.80725]
37,2013-03-09,1272.153,1479.582666666667,0.0,39.0,4.2,6.5,5.7,100270.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,[1518.9688]
50,2013-12-14,1088.496,1149.9556666666667,120.0,28.0,12.7,7.7,3.5,102240.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,[1173.4471]
15,2013-11-29,816.067,923.85,0.0,15.0,9.0,8.9,7.4,102690.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,[901.20337]
38,2013-11-25,1301.277,1303.128333333333,66.0,28.0,8.2,5.8,4.0,103780.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,[1348.9722]
8,2013-02-23,978.005,915.957,6.0,32.0,2.9,1.3,0.1,102110.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,[913.92725]
53,2013-08-21,726.647,668.1233333333336,678.0,249.0,23.9,20.1,12.7,102370.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,[731.09937]
25,2013-02-20,998.533,922.8923333333332,306.0,83.0,2.3,3.1,0.7,102310.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,[937.76556]
44,2013-07-19,788.237,780.4303333333337,858.0,324.0,24.6,22.6,15.9,102510.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,[780.88257]
40,2013-01-31,1115.824,1220.337,222.0,53.0,7.6,8.4,6.6,101250.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,[1259.8594]
6,2013-11-28,1076.033,1119.6356666666668,0.0,15.0,10.4,8.8,7.2,103470.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,[1160.0824]
6,2013-01-24,1360.93,1236.8673333333334,0.0,17.0,3.6,1.7,1.1,101660.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,[1299.9431]
4,2013-04-18,873.736,742.3356666666665,378.0,185.0,13.6,12.2,8.9,101360.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,[799.79974]
16,2013-10-20,1042.819,1104.746,198.0,71.0,18.2,14.9,12.4,100530.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,[1126.1499]
29,2012-10-22,1114.513,1177.7373333333333,0.0,27.0,13.8,12.8,10.7,102020.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,[1266.2521]
28,2013-03-06,878.439,955.4193333333332,6.0,42.0,10.3,9.3,4.8,100060.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,[993.74365]
31,2013-10-12,687.898,698.485,180.0,77.0,11.4,11.7,9.2,101820.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,[733.83673]
43,2012-11-18,1077.615,1272.7130000000004,420.0,66.0,12.8,5.6,1.2,101470.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,[1278.871]
31,2013-09-09,669.107,673.3333333333333,6.0,58.0,17.2,11.6,9.0,101660.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,[696.0045]
16,2013-07-28,821.485,759.7460000000001,468.0,233.0,24.7,19.8,14.7,100680.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,[808.86505]
52,2012-10-17,978.199,1073.696,372.0,98.0,17.0,12.7,7.8,99770.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,[1098.5337]
12,2014-01-12,1112.283,943.9736666666668,114.0,31.0,9.7,4.1,-1.8,101650.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,[1099.7831]
32,2013-12-16,1237.884,1243.1426666666669,0.0,12.0,7.4,11.0,8.6,101660.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,[1275.7297]
40,2012-12-27,1224.591,1220.8306666666667,30.0,18.0,12.6,7.2,5.9,100560.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,[1228.7535]
7,2014-01-14,1081.904,1111.6303333333335,342.0,52.0,11.3,5.4,0.5,100440.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,[1105.1344]
13,2013-10-10,712.468,701.2966666666666,198.0,82.0,13.6,9.6,7.0,101890.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,[725.15845]
16,2013-02-17,1264.833,1246.292666666667,258.0,73.0,9.1,5.7,0.9,102160.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,[1355.4802]
28,2013-12-07,1052.112,958.5473333333332,0.0,13.0,12.0,6.2,3.0,102670.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,[1038.5818]
19,2013-10-02,892.18,989.1806666666668,126.0,77.0,19.2,18.0,14.0,101050.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,[970.2833]
27,2013-11-21,1072.041,1114.744,126.0,37.0,8.2,5.8,3.3,100450.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,[1083.7053]
41,2014-01-11,951.331,965.508666666667,402.0,55.0,9.9,6.8,4.3,101860.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,[995.6456]
48,2013-05-24,823.048,732.4983333333336,12.0,92.0,16.2,7.7,5.5,100970.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,[748.7043]
31,2012-12-08,1037.029,967.6463333333332,384.0,49.0,9.2,4.9,2.5,102350.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,[1002.0966]
47,2013-06-12,774.0120000000001,722.962,18.0,99.0,19.3,15.8,13.7,101110.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,[732.8456]
24,2013-07-04,697.5,751.3483333333332,270.0,194.0,26.3,18.7,12.5,101970.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,[715.2683]
48,2014-01-16,909.41,900.3980000000001,156.0,37.0,9.2,9.0,7.4,99040.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,[953.2823]
22,2013-11-12,920.455,979.6823333333332,84.0,36.0,10.8,11.2,9.6,102630.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,[960.8677]
23,2013-05-01,724.587,781.1126666666665,612.0,253.0,17.6,10.2,3.8,102430.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,[823.5576]
36,2013-02-15,1131.831,1176.5943333333337,245.99999999999997,69.0,10.2,6.2,1.7,101990.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,[1220.506]
11,2013-10-14,796.912,801.765,12.0,38.0,13.9,10.3,8.7,100740.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,[807.5389]
5,2013-03-02,1314.028,1213.2853333333337,72.0,60.0,8.8,4.2,2.6,102790.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,[1247.9288]
3,2014-01-04,1204.094,1135.7156666666667,0.0,13.0,12.5,7.4,5.3,99360.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,[1127.9755]
21,2012-12-04,1082.595,1123.3423333333333,288.0,44.0,4.1,4.6,1.0,100370.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,[1169.8018]
48,2013-06-28,786.857,709.1360000000001,0.0,81.0,22.2,16.8,12.1,101980.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,[735.32336]
54,2013-09-02,718.336,988.7016666666664,756.0,233.0,26.0,18.8,11.4,102710.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,[874.4454]
12,2014-01-11,1003.484,950.268,402.0,55.0,9.9,6.8,4.3,101860.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,[1080.8937]
35,2013-07-20,839.595,827.0653333333333,174.0,159.0,27.5,20.6,16.5,102330.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,[796.00507]
46,2013-06-10,836.386,851.9756666666666,6.0,89.0,18.1,13.3,10.5,101570.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,[812.3782]
47,2013-07-07,668.304,714.491,828.0,325.0,27.7,23.0,16.5,103160.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,[709.5949]
35,2013-02-13,1231.346,1218.5856666666666,0.0,24.0,12.1,4.7,0.5,102110.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,[1232.5515]
51,2013-05-29,940.149,830.6526666666668,66.0,121.0,15.2,10.4,7.5,100480.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,[908.7241]
4,2014-01-01,971.488,911.2213333333332,0.0,13.0,11.1,8.5,5.6,99300.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,[933.2328]
1,2013-01-16,1470.6,1214.0146666666667,78.0,28.0,2.6,-1.2,-2.6,101340.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,[1304.8962]
37,2013-06-07,875.169,920.605,276.0,196.0,18.6,15.1,9.6,102310.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,[909.92615]
32,2013-10-30,1034.149,1102.8090000000002,372.0,82.0,13.3,9.0,3.5,102010.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,[1114.1688]
40,2012-12-28,1179.403,1295.3533333333332,0.0,12.0,11.7,9.0,5.3,101660.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,[1285.2888]
2,2013-07-18,713.38,715.0176666666666,834.0,320.0,29.3,24.0,18.4,102610.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,[729.8248]
41,2013-01-11,1004.638,1250.6800000000003,138.0,33.0,4.8,4.1,0.7,101770.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,[1230.4122]
4,2013-09-04,636.154,768.9769999999999,750.0,229.0,29.5,21.1,13.7,102070.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,[751.4541]
43,2012-12-30,1147.365,1287.168,66.0,23.0,11.2,8.2,4.9,100990.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,[1372.258]
36,2013-10-15,977.474,1052.7546666666667,204.0,78.0,15.9,10.9,7.9,101080.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,[1055.9635]
21,2013-06-19,664.697,682.3666666666668,294.0,203.0,21.3,20.7,15.3,101470.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,[722.84875]
46,2013-07-10,754.942,743.1006666666667,768.0,311.0,23.4,19.1,13.6,102560.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,[768.8888]
25,2014-01-19,816.94,940.9823333333331,324.0,54.0,9.2,7.4,6.2,99550.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,[938.9411]
17,2013-02-24,1406.133,1221.9466666666667,0.0,29.0,4.3,1.5,0.1,102430.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,[1225.2645]
38,2012-11-27,1384.033,1466.952,0.0,15.0,7.2,7.7,6.8,100410.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,[1555.9377]
