True_value,Prediction
[1152.9177],[1150.3514]
[831.645],[774.4622]
[1212.0516],[1227.6517]
[923.637],[914.9171]
[751.9873],[750.3756]
[1038.4753],[1031.6044]
[1111.878],[1115.6705]
[916.49335],[917.1259]
[857.666],[850.95166]
[968.408],[946.89484]
[846.145],[870.64307]
[868.95166],[878.8858]
[1030.002],[978.29645]
[1195.3673],[1176.5562]
[688.207],[719.35547]
[845.12866],[820.7999]
[1268.9803],[1188.5818]
[1043.504],[1019.13806]
[1193.9297],[1207.9087]
[1110.6647],[1118.0575]
[789.6277],[822.6747]
[1407.9073],[1467.8098]
[1591.4283],[1553.5641]
[894.148],[921.1489]
[1363.5254],[1412.416]
[979.00366],[976.66797]
[768.86865],[782.38806]
[1094.1244],[1096.9594]
[1265.9164],[1233.8617]
[843.02966],[849.3546]
[932.64435],[931.39453]
[1872.263],[1553.5856]
[1578.94],[1553.4957]
[1117.213],[1123.481]
[1085.127],[1129.8854]
[778.264],[766.26117]
[786.805],[741.96204]
[1046.4913],[1055.2457]
[915.087],[932.0928]
[854.7737],[928.32214]
[789.77435],[770.51117]
[898.0317],[909.9307]
[1052.6113],[1035.9192]
[1148.0907],[1161.4427]
[1202.911],[1263.0756]
[846.74866],[830.8694]
[1185.0427],[1174.0212]
[1175.4686],[1213.4633]
[1136.2377],[1192.1263]
[730.9993],[696.39746]
[1052.3016],[1038.0101]
[1140.9497],[1142.6149]
[973.10834],[963.1533]
[821.6877],[841.224]
[918.4167],[965.10315]
[1280.46],[1303.693]
[739.372],[769.87823]
[1331.686],[1387.1073]
[1094.0703],[1114.5299]
[1365.332],[1353.7062]
[1226.871],[1244.3217]
[713.342],[681.103]
[1411.0474],[1550.547]
[758.956],[754.35016]
[696.47864],[664.664]
[1247.2244],[1201.1942]
[937.551],[907.30585]
[987.2443],[1016.57904]
[912.3023],[946.64215]
[827.69135],[839.9649]
[994.51733],[995.80304]
[900.07],[913.655]
[872.85236],[839.3213]
[786.45264],[844.2849]
[1226.231],[1300.3647]
[1032.8394],[1046.3094]
[767.06665],[768.7075]
[968.7573],[1003.79034]
[946.57733],[897.38684]
[882.43164],[817.8262]
[792.17566],[782.49]
[1009.41766],[982.21545]
[1265.0927],[1254.5391]
[1115.154],[1308.5366]
[1347.4534],[1369.5181]
[1156.2433],[1110.619]
[900.06866],[899.1395]
[783.57367],[814.3226]
[1027.9597],[1051.6827]
[1233.4047],[1175.1056]
[1373.232],[1387.4017]
[1097.8544],[1055.8516]
[1319.0457],[1322.8503]
[912.4083],[967.49664]
[937.79333],[949.0173]
[1143.408],[1157.474]
[1071.467],[1104.3655]
[816.47064],[831.98596]
[813.94434],[870.8861]
[1302.756],[1319.3326]
[813.4633],[815.43274]
[1061.6053],[1078.6536]
[1145.9153],[1132.3978]
[682.485],[682.0034]
[691.29364],[673.4778]
[775.525],[796.1298]
[769.77435],[789.9707]
[1086.939],[1206.074]
[842.43365],[877.5327]
[1000.919],[1042.0239]
[1194.628],[1188.51]
[681.8883],[679.1952]
[1037.2463],[1018.5347]
[697.05066],[701.80206]
[1307.811],[1298.0328]
[1352.593],[1446.745]
[1166.9576],[1110.505]
[1235.946],[1276.8724]
[791.2313],[837.1237]
[928.83136],[989.0947]
[940.00134],[957.5122]
[1269.771],[1174.7614]
[894.5853],[986.1742]
[913.615],[916.18085]
[1091.1337],[1085.2505]
[792.323],[795.34784]
[889.985],[905.25397]
[919.058],[935.4996]
[870.02435],[893.129]
[1182.5303],[1184.4241]
[978.66766],[1002.24677]
[912.365],[929.0909]
[1183.0886],[1200.8798]
[1127.5247],[1135.1509]
[686.547],[702.22766]
[1514.619],[1552.9396]
[1154.3513],[1090.3447]
[991.26],[1048.2148]
[660.10535],[639.4002]
[915.7757],[935.97687]
[1104.775],[1110.2684]
[820.497],[819.91754]
[946.101],[929.2546]
[1346.8436],[1356.9299]
[1124.959],[1102.5759]
[771.6533],[731.76514]
[1121.86],[1121.7643]
[911.16736],[861.3151]
[1228.9027],[1224.5155]
[1252.613],[1312.1367]
[953.802],[946.22534]
[1152.8147],[1145.436]
[1200.6587],[1172.5422]
[1149.0653],[1154.3739]
[802.69965],[784.7172]
