group,Date,KWH,Next_3_Days_Energy_Total,cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure,snow_depth
1,2012-09-28,920.374,1031.111,5.0,1.6,73.0,16.7,13.3,8.5,0.2,101300.0,0.0
1,2012-09-29,946.774,1045.833,1.0,8.7,146.0,18.1,12.7,8.6,0.0,101830.0,0.0
1,2012-09-30,997.614,1059.1466666666663,5.0,1.6,71.0,17.3,12.1,6.1,4.2,101870.0,0.0
1,2012-10-01,932.968,1051.590333333333,6.0,2.7,85.0,17.9,15.2,13.0,2.6,101190.0,0.0
1,2012-10-02,923.616,1039.0826666666665,6.0,2.8,85.0,15.1,14.4,10.9,1.2,100970.0,0.0
1,2012-10-03,903.401,1014.5423333333332,7.0,1.6,69.0,16.4,13.1,11.0,4.6,100560.0,0.0
1,2012-10-04,927.676,1024.0923333333333,3.0,7.5,128.0,15.8,11.4,6.4,6.2,100820.0,0.0
1,2012-10-05,1018.991,1032.6766666666665,8.0,1.1,60.0,15.3,13.2,10.5,17.6,100700.0,0.0
1,2012-10-06,1006.704,1109.9963333333333,4.0,7.9,128.0,13.8,11.4,7.5,0.2,101300.0,0.0
1,2012-10-07,1055.486,1140.0373333333334,3.0,3.2,84.0,12.7,9.3,4.7,0.0,101790.0,0.0
1,2012-10-08,980.039,1128.4356666666663,8.0,0.0,34.0,14.3,9.9,7.0,2.8,101300.0,0.0
1,2012-10-09,956.148,1076.073,6.0,3.8,87.0,15.4,11.5,8.7,0.0,101610.0,0.0
1,2012-10-10,964.373,1056.944,7.0,2.8,76.0,15.7,11.8,8.1,0.0,101500.0,0.0
1,2012-10-11,1056.004,1074.2353333333333,8.0,0.0,32.0,14.8,12.3,8.9,7.8,100370.0,0.0
1,2012-10-12,1011.988,1116.577,5.0,6.4,106.0,13.5,12.3,9.7,0.0,100580.0,0.0
1,2012-10-13,1025.341,1182.031,4.0,4.1,85.0,12.9,9.6,5.6,0.8,100480.0,0.0
1,2012-10-14,1100.17,1209.969,1.0,7.7,113.0,14.2,7.4,1.9,0.0,100270.0,0.0
1,2012-10-15,1051.929,1185.8533333333332,6.0,0.6,44.0,15.9,8.6,2.9,1.4,100240.0,0.0
1,2012-10-16,1002.672,1132.6503333333333,4.0,7.3,107.0,17.5,12.1,8.3,12.0,100090.0,0.0
1,2012-10-17,1062.647,1093.5346666666665,5.0,6.2,98.0,17.0,12.7,7.8,1.6,99770.0,0.0
1,2012-10-18,978.308,1113.019,7.0,2.9,69.0,13.6,14.6,12.1,0.2,100200.0,0.0
1,2012-10-19,1031.322,1128.7086666666669,8.0,0.0,28.0,14.1,12.4,11.2,8.2,100780.0,0.0
1,2012-10-20,1088.4,1229.687,7.0,0.3,36.0,13.6,11.3,8.4,5.2,101630.0,0.0
1,2012-10-21,1210.267,1249.7006666666666,8.0,0.0,27.0,14.9,11.5,9.3,0.8,101810.0,0.0
1,2012-10-22,1121.445,1293.868333333333,8.0,0.0,27.0,13.8,12.8,10.7,0.2,102020.0,0.0
1,2012-10-23,1053.595,1231.2429999999997,8.0,0.0,26.0,16.9,12.9,11.9,0.0,102380.0,0.0
1,2012-10-24,1053.179,1199.696333333333,6.0,1.6,50.0,13.3,14.4,11.9,0.0,101960.0,0.0
1,2012-10-25,1064.058,1149.8016666666665,8.0,0.0,25.0,9.1,13.1,12.9,0.4,101650.0,0.0
1,2012-10-26,1105.469,1169.8756666666666,7.0,0.0,25.0,9.1,8.6,8.0,0.2,101280.0,0.0
1,2012-10-27,1180.204,1224.4333333333334,3.0,6.2,85.0,9.7,5.6,2.1,0.2,101670.0,0.0
1,2012-10-28,1260.42,1274.5739999999998,7.0,0.1,27.0,13.3,5.0,0.2,3.0,101550.0,0.0
1,2012-10-29,1189.283,1249.989,7.0,1.7,47.0,11.1,9.0,4.6,1.8,100870.0,0.0
1,2012-10-30,1107.857,1211.0363333333332,4.0,5.6,77.0,13.2,7.8,4.5,0.2,100460.0,0.0
1,2012-10-31,1100.811,1197.8933333333332,6.0,1.5,44.0,10.3,9.7,6.1,9.2,98970.0,0.0
1,2012-11-01,1071.936,1209.392,5.6,1.46,37.8,10.440000000000001,7.74,5.760000000000001,11.36,99792.0,0.4
1,2012-11-02,1166.31,1221.915,2.0,6.4,79.0,10.3,7.6,3.8,0.0,99120.0,0.0
1,2012-11-03,1147.88,1268.242,3.0,5.1,69.0,8.9,6.3,2.2,11.6,99650.0,0.0
1,2012-11-04,1374.871,1293.3373333333332,6.0,0.2,26.0,10.2,5.4,1.9,4.8,99420.0,0.0
1,2012-11-05,1226.351,1287.7336666666663,2.0,6.7,77.0,10.1,5.3,0.3,0.0,100640.0,0.0
1,2012-11-06,1280.383,1240.3443333333332,4.0,4.2,61.0,10.9,5.4,0.6,0.4,102050.0,0.0
1,2012-11-07,1186.995,1212.4186666666667,4.0,4.2,60.0,13.1,7.4,3.8,0.0,102450.0,0.0
1,2012-11-08,1131.711,1211.934,6.0,3.1,51.0,11.5,9.9,6.6,0.0,101930.0,0.0
1,2012-11-09,1130.699,1253.3186666666663,7.0,0.4,27.0,10.2,9.7,7.8,4.2,101000.0,0.0
1,2012-11-10,1247.217,1288.6313333333333,6.0,0.0,19.0,10.7,9.3,8.3,0.2,99780.0,0.0
1,2012-11-11,1295.384,1306.4599999999998,1.0,8.0,77.0,12.7,6.0,1.3,0.2,101170.0,0.0
