group,Date,KWH,Next_3_Days_Energy_Total
1,2012-09-28,920.374,959.1186666666666
1,2012-09-29,946.774,951.3993333333334
1,2012-09-30,997.614,919.995
1,2012-10-01,932.968,918.2310000000001
1,2012-10-02,923.616,950.0226666666667
1,2012-10-03,903.401,984.457
1,2012-10-04,927.676,1027.0603333333331
1,2012-10-05,1018.991,1014.0763333333333
1,2012-10-06,1006.704,997.2243333333332
1,2012-10-07,1055.4859999999999,966.8533333333334
1,2012-10-08,980.039,992.1749999999998
1,2012-10-09,956.148,1010.7883333333333
1,2012-10-10,964.373,1031.1109999999999
1,2012-10-11,1056.004,1045.8329999999999
1,2012-10-12,1011.988,1059.1466666666665
1,2012-10-13,1025.341,1051.5903333333333
1,2012-10-14,1100.17,1039.0826666666665
1,2012-10-15,1051.929,1014.5423333333332
1,2012-10-16,1002.672,1024.0923333333333
1,2012-10-17,1062.647,1032.6766666666665
1,2012-10-18,978.308,1109.9963333333333
1,2012-10-19,1031.3220000000001,1140.0373333333334
1,2012-10-20,1088.4,1128.4356666666665
1,2012-10-21,1210.267,1076.073
1,2012-10-22,1121.445,1056.944
1,2012-10-23,1053.595,1074.2353333333333
1,2012-10-24,1053.179,1116.577
1,2012-10-25,1064.058,1182.031
1,2012-10-26,1105.469,1209.969
1,2012-10-27,1180.204,1185.8533333333332
1,2012-10-28,1260.42,1132.6503333333333
1,2012-10-29,1189.283,1093.5346666666665
1,2012-10-30,1107.857,1113.019
1,2012-10-31,1100.811,1128.7086666666667
1,2012-11-01,1071.936,1229.687
1,2012-11-02,1166.31,1249.7006666666666
1,2012-11-03,1147.88,1293.868333333333
1,2012-11-04,1374.871,1231.2429999999997
1,2012-11-05,1226.3509999999999,1199.6963333333333
1,2012-11-06,1280.383,1149.8016666666665
1,2012-11-07,1186.995,1169.8756666666666
1,2012-11-08,1131.711,1224.4333333333334
1,2012-11-09,1130.699,1274.5739999999998
1,2012-11-10,1247.217,1249.989
1,2012-11-11,1295.384,1211.0363333333332
1,2012-11-12,1281.121,1197.8933333333332
1,2012-11-13,1173.462,1209.392
1,2012-11-14,1178.526,1221.915
1,2012-11-15,1241.692,1268.242
1,2012-11-16,1207.958,1293.3373333333332
1,2012-11-17,1216.095,1287.7336666666665
1,2012-11-18,1380.673,1240.3443333333332
1,2012-11-19,1283.244,1212.4186666666667
1,2012-11-20,1199.284,1211.934
1,2012-11-21,1238.5049999999999,1253.3186666666663
1,2012-11-22,1199.4669999999999,1288.6313333333333
1,2012-11-23,1197.83,1306.4599999999998
1,2012-11-24,1362.6589999999999,1276.734
1,2012-11-25,1305.405,1282.1396666666667
1,2012-11-26,1251.316,1332.807
1,2012-11-27,1273.481,1353.619
1,2012-11-28,1321.622,1382.1836666666666
1,2012-11-29,1403.318,1438.6693333333333
1,2012-11-30,1335.917,1440.8696666666667
1,2012-12-01,1407.316,1411.8236666666664
1,2012-12-02,1572.775,1354.3376666666666
1,2012-12-03,1342.518,1374.2363333333333
1,2012-12-04,1320.1779999999999,1385.3393333333333
1,2012-12-05,1400.317,1381.1766666666665
1,2012-12-06,1402.214,1391.7853333333333
1,2012-12-07,1353.487,1384.5656666666666
1,2012-12-08,1387.829,1366.7233333333334
1,2012-12-09,1434.04,1330.1593333333333
1,2012-12-10,1331.828,1360.9626666666666
1,2012-12-11,1334.302,1365.7973333333332
1,2012-12-12,1324.348,1373.8826666666666
1,2012-12-13,1424.238,1364.8429999999998
1,2012-12-14,1348.806,1355.3656666666666
1,2012-12-15,1348.604,1335.0896666666665
1,2012-12-16,1397.119,1306.7593333333332
1,2012-12-17,1320.374,1328.7306666666666
1,2012-12-18,1287.776,1355.326
1,2012-12-19,1312.128,1364.100333333333
1,2012-12-20,1386.288,1339.4836666666667
1,2012-12-21,1367.562,1315.5693333333331
1,2012-12-22,1338.451,1316.437
1,2012-12-23,1312.438,1302.8163333333332
1,2012-12-24,1295.819,1313.6543333333332
1,2012-12-25,1341.054,1308.32
1,2012-12-26,1271.576,1313.905
1,2012-12-27,1328.333,1319.302
1,2012-12-28,1325.051,1310.7376666666667
1,2012-12-29,1288.331,1320.082333333333
1,2012-12-30,1344.5240000000001,1314.8349999999998
